Player,Years,Seasons,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alexis Ajinca,7.0,2009 - 2017,C,293,13.33,2.2,4.38,50.228310502283115,0.04,0.14,28.57142857142857,2.16,4.24,50.943396226415096,50.68493150684932,0.86,1.08,79.62962962962963,1.18,2.74,3.92,0.49,0.35,0.62,0.85,2.26,5.3
Alfonzo McKinnie,2.0,2018 - 2019,SF,86,12.28,1.65,3.37,48.96142433234421,0.52,1.48,35.13513513513514,1.13,1.9,59.473684210526315,56.67655786350147,0.34,0.59,57.6271186440678,0.95,2.0,2.95,0.37,0.22,0.19,0.38,1.65,4.16
Alize Johnson,1.0,2019 - 2019,PF,14,4.57,0.29,1.14,25.438596491228072,0.07,0.14,50.0,0.21,1.0,21.0,28.50877192982456,0.29,0.57,50.877192982456144,0.29,1.07,1.36,0.07,0.07,0.21,0.0,0.5,0.93
Allan Houston,6.0,2000 - 2005,SG,389,36.97,7.2,16.02,44.943820224719104,1.63,4.04,40.34653465346534,5.57,11.97,46.53299916457811,50.03121098626717,3.62,4.09,88.50855745721272,0.37,2.66,3.04,2.44,0.7,0.12,2.1,2.38,19.66
Allan Ray,1.0,2007 - 2007,SG,47,15.11,2.13,5.51,38.65698729582577,1.02,2.47,41.29554655870445,1.11,3.04,36.51315789473685,47.91288566243194,0.89,1.17,76.06837606837608,0.38,1.09,1.47,0.91,0.43,0.06,0.89,1.81,6.17
Allen Crabbe,6.0,2014 - 2019,SG,344,24.63,3.38,7.88,42.89340101522843,1.69,4.29,39.39393939393939,1.69,3.59,47.07520891364902,53.61675126903553,1.09,1.3,83.84615384615385,0.28,2.61,2.9,1.17,0.6,0.29,0.78,2.08,9.54
Allen Iverson,11.0,2000 - 2010,SG,710,41.41,9.52,22.45,42.40534521158129,1.09,3.51,31.054131054131055,8.43,18.94,44.508975712777186,44.83296213808463,7.39,9.32,79.29184549356223,0.67,2.92,3.59,6.11,2.17,0.15,3.54,1.75,27.52
Allonzo Trier,1.0,2019 - 2019,SG,64,22.8,3.62,8.09,44.746600741656366,0.81,2.06,39.32038834951456,2.81,6.03,46.60033167495854,49.752781211372074,2.8,3.48,80.45977011494251,0.48,2.59,3.08,1.86,0.44,0.22,1.81,1.83,10.86
Alonzo Gee,8.0,2010 - 2017,SF,417,21.75,2.4,5.54,43.32129963898917,0.45,1.37,32.846715328467155,1.95,4.17,46.76258992805755,47.3826714801444,1.36,1.8,75.55555555555556,0.93,2.33,3.26,1.06,0.91,0.24,1.07,1.9,6.6
Alonzo Mourning,8.0,2000 - 2008,C,383,25.3,4.66,8.64,53.93518518518518,0.0,0.02,0.0,4.65,8.62,53.944315545243626,53.93518518518518,3.14,4.83,65.0103519668737,2.03,4.53,6.56,0.74,0.29,2.57,1.9,3.02,12.45
