ID,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
lambejo01,1982,John Lambert,PF,29,SAS,2,,3,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,1,0,0,0,0,0
landsma01,1982,Mark Landsberger,PF,26,LAL,9,,60,3,9,.333,0,0,,3,9,.333,.333,4,9,.444,11,11,22,2,0,0,4,12,10
laniebo01,1982,Bob Lanier,C,33,MIL,6,,212,41,80,.513,0,1,.000,41,79,.519,.513,14,25,.560,18,27,45,22,8,5,14,21,96
leaveal01,1982,Allen Leavell,PG,24,HOU,3,,93,20,47,.426,0,1,.000,20,46,.435,.426,2,2,1.000,1,4,5,10,4,1,5,9,42
listeal01,1982,Alton Lister,C,23,MIL,6,,112,14,24,.583,0,0,,14,24,.583,.583,5,7,.714,6,21,27,5,2,15,9,23,33
lucasjo01,1982,John Lucas,PG,28,WSB,7,,74,14,26,.538,1,3,.333,13,23,.565,.558,2,3,.667,0,8,8,20,3,1,4,6,31
macklru01,1982,Rudy Macklin,SF,23,ATL,2,,30,4,8,.500,0,1,.000,4,7,.571,.500,6,6,1.000,3,0,3,1,0,0,2,6,14
macyky01,1982,Kyle Macy,PG,24,PHO,7,,243,38,89,.427,4,11,.364,34,78,.436,.449,15,16,.938,11,11,22,28,7,1,13,21,95
mahorri01,1982,Rick Mahorn,PF,23,WSB,7,,242,32,73,.438,0,0,,32,73,.438,.438,10,14,.714,14,47,61,13,10,5,16,30,74
malonmo01,1982,Moses Malone,C,26,HOU,3,,136,29,67,.433,0,0,,29,67,.433,.433,14,15,.933,28,23,51,10,2,2,6,8,72
matthwe01,1982,Wes Matthews,PG,22,ATL,2,,28,2,10,.200,0,0,,2,10,.200,.200,4,4,1.000,0,0,0,4,0,1,2,4,8
maxwece01,1982,Cedric Maxwell,SF,26,BOS,12,,385,62,120,.517,0,0,,62,120,.517,.517,50,70,.714,37,50,87,26,18,11,24,40,174
maysc01,1982,Scott May,SF,27,MIL,4,,50,4,20,.200,0,0,,4,20,.200,.200,9,14,.643,7,4,11,10,2,0,6,6,17
mcadobo01,1982,Bob McAdoo,C,30,LAL,14,,388,101,179,.564,0,0,,101,179,.564,.564,32,47,.681,21,74,95,22,10,21,35,43,234
mcgeemi01,1982,Mike McGee,SF,22,LAL,4,,10,6,13,.462,0,1,.000,6,12,.500,.462,0,0,,3,0,3,0,0,0,1,1,12
mchalke01,1982,Kevin McHale,PF,24,BOS,12,,344,77,134,.575,0,0,,77,134,.575,.575,40,53,.755,41,44,85,11,5,27,16,44,194
mckinbi01,1982,Billy McKinney,PG,26,DEN,3,,91,16,27,.593,0,1,.000,16,26,.615,.593,10,12,.833,2,4,6,10,3,0,5,9,42
