ID,Player,Years,From,To,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,2P%,eFG%,Draft
11892,Taurean Prince,2.0,2015.0,2016.0,BU,67,28.478,5.284,11.745999999999999,44.985526987910774,1.6869999999999998,4.463,37.799686309657176,2.657,3.687,72.06400867914293,2.358,2.3280000000000003,2.104,3.716,5.8210000000000015,1.776,1.3730000000000002,0.8059999999999999,14.91,49.388988054373186,52.16669504512175,12
10789,Pascal Siakam,2.0,2015.0,2016.0,NMSU,68,32.705999999999996,6.471,11.75,55.07234042553192,0.044000000000000004,0.25,17.599999999999994,3.5439999999999996,4.985,71.09327983951857,1.926,2.647,3.574,6.087999999999999,9.662,1.5,0.912,2.0,16.529,55.88695652173914,55.259574468085106,27
16441,Kevon Looney,1.0,2015.0,2015.0,UCLA,36,30.916999999999998,4.194,8.917,47.03375574744868,0.611,1.472,41.50815217391305,2.556,4.083,62.60102865540043,1.25,2.889,3.389,5.806,9.193999999999999,1.4169999999999998,1.278,0.889,11.556,48.12625923438549,50.45979589548054,30
10788,Dillon Brooks,3.0,2015.0,2017.0,UO,109,28.927,5.385,11.404000000000002,47.220273588214646,1.22,3.367,36.234036234036225,2.798,3.523,79.4209480556344,2.147,2.9360000000000004,1.5959999999999999,2.945,4.541,2.56,0.8809999999999999,0.46799999999999997,14.789000000000001,51.82281945999752,52.569273938968784,45
16210,Justin Jackson,3.0,2015.0,2017.0,UNC,118,29.068,5.2120000000000015,11.364,45.864132347764865,1.4240000000000002,4.203,33.88056150368784,1.932,2.7119999999999997,71.23893805309733,1.39,1.517,1.534,2.542,4.0760000000000005,2.6439999999999997,0.644,0.381,13.78,52.89763999441418,52.12953185498064,15
11830,Jaron Blossomgame,3.0,2015.0,2017.0,CLEM,95,33.168,5.947,11.884,50.04207337596768,0.905,2.674,33.844427823485425,3.737,5.074,73.6499802916831,1.7369999999999999,1.695,2.0,5.021,7.021,1.347,0.779,0.863,16.537,54.74484256243213,53.84971390104342,59
19945,Karl-Anthony Towns,1.0,2015.0,2015.0,UK,39,21.076999999999998,3.718,6.564,56.64229128580134,0.051,0.205,24.87804878048781,2.795,3.4360000000000004,81.34458672875436,1.359,2.949,2.359,4.333,6.692,1.128,0.462,2.205,10.282,57.66629973266236,57.03077391834247,1
18230,Chris Smith,2.0,2015.0,2016.0,USU,62,31.548000000000002,4.6610000000000005,9.565,48.72974385781495,2.032,4.4030000000000005,46.15035203270497,2.435,3.2260000000000004,75.4804711717297,1.548,2.113,0.887,3.661,4.548,2.306,0.742,0.29,13.79,50.92987214258039,59.35180345007842,34
21034,Michael Gbinije,2.0,2015.0,2016.0,SU,67,36.611999999999995,5.4179999999999975,11.761,46.06751126604881,2.09,5.343,39.11660116039678,2.418,3.8510000000000004,62.788886003635426,2.522,2.716,1.119,3.373,4.493,3.985,1.896,0.34299999999999997,15.343,51.854160174509204,54.95281013519258,49
4400,Devin Booker,1.0,2015.0,2015.0,UK,38,21.5,3.553,7.553,47.040910896332576,1.526,3.7110000000000003,41.120991646456474,1.395,1.6840000000000002,82.83847980997625,0.9740000000000001,1.526,0.447,1.5530000000000002,2.0,1.105,0.447,0.053,10.026,52.75897969807393,57.14285714285714,13
