ID,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PIR
bantomi01,1981,Mike Bantom,SF,29,IND,2,,51,12,16,0.75,0,0,,12,16,0.75,0.75,5,7,0.7140000000000001,5,3,8,1,1,1,6,10,29,18
batesbi01,1981,Billy Ray Bates,SG,24,POR,3,,115,35,62,0.565,1,1,1.0,34,61,0.557,0.573,14,17,0.8240000000000001,3,4,7,13,5,1,11,11,85,59
birdla01,1981,Larry Bird,PF,24,BOS,17,,750,147,313,0.47,3,8,0.375,144,305,0.47200000000000003,0.474,76,85,0.894,49,189,238,103,39,17,62,53,373,480
birdsot01,1981,Otis Birdsong,SG,25,KCK,8,,234,56,98,0.5710000000000001,1,1,1.0,55,97,0.5670000000000001,0.5770000000000001,11,18,0.611,8,13,21,27,12,0,20,13,124,102
bradldu01,1981,Dudley Bradley,SG,23,IND,2,,19,3,9,0.33299999999999996,1,1,1.0,2,8,0.25,0.389,2,2,1.0,1,1,2,2,2,0,5,4,9,0
breweji01,1981,Jim Brewer,PF,29,LAL,3,,7,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,1,0,0
brewero01,1981,Ron Brewer,SG,25,SAS,7,,118,29,61,0.475,1,3,0.33299999999999996,28,58,0.483,0.484,21,29,0.7240000000000001,0,5,5,13,1,6,6,6,80,53
bridgju01,1981,Junior Bridgeman,SF,27,MIL,7,,183,42,91,0.462,1,1,1.0,41,90,0.456,0.467,13,16,0.813,6,9,15,23,6,0,11,27,98,52
bucknqu01,1981,Quinn Buckner,PG,26,MIL,7,,183,26,60,0.433,0,0,,26,60,0.433,0.433,11,16,0.688,5,15,20,35,11,0,14,26,63,50
busedo01,1981,Don Buse,SG,30,IND,2,,35,1,8,0.125,1,4,0.25,0,4,0.0,0.188,2,2,1.0,0,5,5,7,3,0,2,4,5,7
